Golongan Mu'min|2:1-5
Tuhan mematahkan dalil-dalil kaum musyrikin|37:11-19
Keadaan orang-orang musyrik di akhirat|37:20-39
Keadaan orang-orang mu'min di syurga|37:40-62
Buah pohon zaqqum makanan ahli neraka|37:63-70
Akibat yang diderita umat dahulu yang membangkang terhadap kebenaran|37:71-74
Allah mengabulkan permohonan Nabi Nuh a.s.|37:75-82
Nabi Ibrahim a.s. menghancurkan berhala|37:83-99
Penyembelihan Ismail a.s.|37:100-111
Kabar gembira tentang kelahiran Ishaq|37:112-113
Ni'mat yang diberikan Allah kepada nabi-nabi Musa a.s., Harus a.s., Ilyas a.s., Luth a.s., dan Yunus a.s.|37:114-148
Tak layak Allah mempunyai anak perempuan|37:149-160
Kaum musyrikin beserta sembahan-sembahannya tidak berdaya|37:161-170
Para rasul dan pengikutnya pasti mendapat kemenangan|37:171-16
Nabi Daud mendapat cobaan dari Allah|38:17-29
Nabi Sulaiman mendapat cobaan dari Allah|38:30-40
Nabi Ayyub a.s. dan kesabarannya|38:41-44
Beberapa orang Nabi pilihan|38:45-48
Pahala bagi pengikut nabi-nabi|38:49-54
Azab terhadap orang-orang yang menentang Nabi|38:55-70
Adam dan godaan iblis|38:71-41
Syafa'at itu adalah semata-mata hak Allah|39:42-44
Salah satu sifat orang-orang yang tidak beriman kepada kehidupan akhirat|39:45-48
Salah satu watak manusia yang buruk|39:49-52
Perintah segera bertaubat sebelum datangnya azab|39:53-59
Perbedaan keadaan orang yang bertakwa dengan orang yang mendustakan hari kiamat|39:60-63
Peringatan supaya menjauhi kemusyrikan|39:64-66
Beberapa peristiwa yang terjadi pada hari kiamat|39:67-0
Orang-orang mu'min janganlah terpedaya oleh kemakmuran orang-orang musyrikin|40:1-6
Para malaikat bertasbih kepada Allah dan mendo'akan orang-orang mu'min|40:7-9
Keinginan orang-orang kafir hendak keluar dari neraka|40:10-12
Kewajiban menunaikan ibadat kepada Allah|40:13-20
Pelajaran-pelajaran yang dapat diambil dari kisah Musa a.s.|40:21-55
Pengingkaran terhadap kekuasaan Allah hanyalah karena kesombongan semata|40:56-59
Allah akan memperkenankan do'a hamba-Nya|40:60-60
Kekuasaan Allah yang tercermin pada alam semesta|40:61-68
Nasib orang yang menentang ayat-ayat Allah dan rasul-Nya|40:69-78
Pelajaran yang dapat diambil dari peristiwa yang terjadi pada umat-umat yang dahulu|40:79-83
Iman di waktu azab telah datang tidak berguna lagi|40:84-0
Wahyu Allah kepada Muhammad s.a.w. sama dengan wahyu-Nya kepada rasul-rasul sebelumnya|42:1-4
Para Malaikat memohonkan ampun kepada Allah untuk penghuni bumi|42:5-6
Al Qur'an adalah sebagai peringatan untuk seluruh umat manusia|42:7-9
Perselisihan-perselisihan umat manusia dikembalikan penyelesaiannya kepada Kitab Allah|42:10-12
Semua para rasul mengajak untuk menyembah kepada Allah Yang Maha Esa|42:13-19
Allah memberikan pembalasan kepada amal seseorang menurut niatnya|42:20-29
Allah memaafkan sebagian besar dosa hamba-hamba-Nya|42:30-37
Kewajiban bermusyawarat tentang masalah keduniaan|42:38-38
Bersabar dan memberi ma'af lebih baik daripada mengambil pembalasan|42:39-43
Orang-orang yang dibiarkan sesat oleh Allah tidak akan menemukan pemimpin yang memberi petunjuk|42:44-50
Cara Wahyu diturunkan kepada Rasul|42:51-0
Kecelakaanlah bagi orang yang mendustakan wahyu|45:1-11
Perbuatan manusia baik atau buruk kembali kepada dirinya sendiri|45:12-15
Bani Israil mengingkari kerasulan Muhammad sesudah mereka mengetahui bukti-bukti kebenarannya|45:16-21
Tak ada yang dapat memberikan petunjuk kepada penyembah-penyembah hawa nafsu|45:22-26
Pada hari umat manusia dihisab, mereka berlutut dan disuruh membaca catatan perbuatannya selama di dunia|45:27-0
Sikap menghadapi orang-orang kafir dalam peperangan|47:1-6
Orang-orang mu'min pasti menang, dan orang-orang kafir pasti hancur|47:7-19
Ancaman terhadap orang-orang munafik dan orang-orang murtad|47:20-0
Khabar gembira kepada Nabi Muhammad s.a.w. dan kaum muslim|48:1-7
Terjadinya Bai\rquote aturridhwan|48:8-10
Celaan terhadap orang-orang yang takut berperang|48:11-17
Allah meredhai orang-orang yang mengadakan Bai\rquote atturridhwan dan menjanjikan kemenangan bagi kaum muslimin|48:18-26
Kebenaran mimpi Nabi Muhammad s.a.w. memasuki Mekah akan terbukti|48:27-28
Sifat-sifat Nabi Muhammad s.a.w. dan sahabat-sahabatnya di dalam Taurat dan Injil|48:29-5
Bagaimana menghadapi berita yang dibawa orang fasik|49:6-8
Cara menyelesaikan sengketa antara kaum Muslimin|49:9-10
Larangan memperolok-olokkan, banyak berprasangka dan lain-lain|49:11-12
Manusia diciptakan berbagai bangsa untuk kenal mengenal|49:13-13
Ciri-ciri iman yang sebenarnya|49:14-0
Pengingkaran kaum musyrikin terhadap kenabian Muhammad s.a.w. dan hari berbangkit|50:1-5
Kejadian-kejadian dalam alam membuktikan kebenaran adanya hari berbangkit|50:6-11
Pelajaran yang dapat diambil dari umat-umat yang dahulu yang menentang para nabi|50:12-15
Gerak-gerik manusia dan perkataannya dicatat oleh para malaikat|50:16-29
Balasan terhadap amal yang baik dan perbuatan yang jelek|50:30-35
Ancaman terhadap orang-orang yang mengingkari hari berbangkit|50:36-0
Berita kehancuran musuh Nabi Muhammad s.a.w.|54:1-8
Kehancuran kaum Nuh a.s.|54:9-17
Kehancuran kaum 'Aad|54:18-22
Kehancuran kaum Tsamud|54:23-32
Kehancuran kaum Luth a.s.|54:33-40
Kehancuran Fir'aun|54:41-42
Peringatan kepada kaum musyrikin bahwa mereka tidak lebih kuat dari umat-umat yang telah dihancurkan Allah|54:43-46
Balasan terhadap orang yang berdosa dan pahala bagi orang yang takwa|54:47-0
Pada hari kiamat manusia akan terbagi tiga golongan|56:1-7
Golongan kanan, golongan kiri dan orang-orang yang paling dulu beriman|56:8-10
Balasan kepada mu'min yang beriman paling dahulu|56:11-26
Balasan kepada Golongan Kanan|56:27-40
Azab atas golongan kiri dan tempelak untuk mereka|56:41-0
Hukum Zhihar|58:1-6
Celaan terhadap perundingan rahasia untuk memusuhi Islam|58:7-10
Sopan santun menghadiri majlis Nabi|58:11-13
Larangan berteman dengan orang-orang yang memusuhi Islam|58:14-0
Pengusiran Bani Nadhir dari Madinah|59:1-5
Hukum fai-i|59:6-10
Orang-orang munafik tidak menepati janji kepada Yahudi|59:11-17
Beberapa Peringatan|59:18-21
Beberapa Al-Asmaa ul Husna|59:22-0
Larangan menjadikan seseorang dari golongan musuh sebagai teman setia|60:1-9
Perlakuan terhadap wanita-wanita mu'min yang masuk Daerah Islam|60:10-9
Kemenangan dapat diperoleh hanya dengan pengorbanan|61:10-0
Sifat-sifat orang munafik|63:1-8
Peringatan kepada orang-orang mu'min|63:9-0
Nabi Muhammad SAW dengan isteri-isterinya|66:1-6
Perintah taubat dan berjihad|66:7-0
Kekuasaan dan ilmu Allah yang tergambar di alam semesta|67:1-5
Azab yang diderita orang-orang kafir di akhirat|67:6-11
Janji-janji Allah kepada orang-orang mu'min|67:12-15
Ancaman Allah kepada orang-orang kafir|67:16-0
Muhammad s.a.w. adalah seorang yang berakhlak agung|68:1-7
Larangan menta'ati orang-orang yang mendustakan kebenaran|68:8-0
Orang-orang yang mendustakan kebenaran pasti binasa|69:1-12
Peristiwa-peristiwa di waktu terjadinya hari kiamat|69:13-18
Saat berhisab dan peristiwa-peristiwa berikutnya|69:19-0
Seruan Nabi Nuh a.s. kepada kaumnya|71:1-4
Pengaduan Nuh a.s. kepada Allah tentang keingkaran kaumnya|71:5-24
Azab yang ditimpakan kepada kaum Nuh a.s.|71:25-0
Kewajiban shalat malam atas Nabi Muhammad s.a.w.|73:1-9
Beberapa petunjuk lainnya untuk Nabi Muhammad s.a.w.|73:10-0
Beberapa petunjuk dalam berda'wah|74:1-10
Orang yang ingkar urusannya kepada Allah|74:11-31
Yang menerima da'wah akan mendapat pahala dan yang menolaknya akan masuk neraka|74:32-0
Kekuasaan Allah menghidupkan manusia seperti semula|75:1-15
Tertib ayat-ayat dan surat-surat dalam Al Qur'an menurut ketentuan Allah|75:16-25
Keadaan manusia di saat sakaratul maut|75:26-35
Manusia dijadikan Allah tidak dengan sia-sia|75:36-0
Proses kejadian manusia|76:1-4
Balasan Allah kepada orang-orang yang berbuat kebajikan dan tingkatan-tingkatan balasan-balasan itu|76:5-22
Tuntutan-tuntutan Allah kepada Muhammad s.a.w.|76:23-0
Segala ancaman Allah pasti terjadi|77:1-27
Azab-azab yang ditimpakan atas orang-orang yang mendustakan kebenaran dan balasan kepada orang-orang yang bertakwa|77:28-0
Kekuasaan Allah menciptakan alam dan ni'mat-ni'amat yang diberikan-Nya adalah bukti bagi kekuasaan-Nya membangkitkan manusia|78:1-16
Kehebatan hari berbangkit|78:17-20
Balasan terhadap orang yang durhaka|78:21-30
Balasan terhadap orang yang bertakwa|78:31-37
Perintah agar manusia memilih jalan yang benar kepada Tuhannya|78:38-40
